scenario,asset,feature_family,start_train_date,end_train_date,start_val_date,end_val_date,feature_path,feature_file,raw_path,raw_file,log_return_path,log_return_file
11,BNBUSDT,temporal_decomposition,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02d-output-BNBUSDT_1d-log-return-temporal_decomposition.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
12,BNBUSDT,time_delay_embedding,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02e-output-BNBUSDT_1d-log-return-time-delay-embedding.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
13,BNBUSDT,TDA_TD_72_SS_336,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BNBUSDT_1h_time_delay_72_slice_size_336/features,features_BNBUSDT_1h_time_delay_72_slice_size_336.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
14,BNBUSDT,TDA_TD_72_SS_504,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BNBUSDT_1h_time_delay_72_slice_size_504/features,features_BNBUSDT_1h_time_delay_72_slice_size_504.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
15,BNBUSDT,TDA_TD_72_SS_720,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BNBUSDT_1h_time_delay_72_slice_size_720/features,features_BNBUSDT_1h_time_delay_72_slice_size_720.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
16,BNBUSDT,TDA_TD_72_SS_1080,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BNBUSDT_1h_time_delay_72_slice_size_1080/features,features_BNBUSDT_1h_time_delay_72_slice_size_1080.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
17,BNBUSDT,TDA_TD_168_SS_336,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BNBUSDT_1h_time_delay_168_slice_size_336/features,features_BNBUSDT_1h_time_delay_168_slice_size_336.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
18,BNBUSDT,TDA_TD_168_SS_504,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BNBUSDT_1h_time_delay_168_slice_size_504/features,features_BNBUSDT_1h_time_delay_168_slice_size_504.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
19,BNBUSDT,TDA_TD_168_SS_720,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BNBUSDT_1h_time_delay_168_slice_size_720/features,features_BNBUSDT_1h_time_delay_168_slice_size_720.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
20,BNBUSDT,TDA_TD_168_SS_1080,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BNBUSDT_1h_time_delay_168_slice_size_1080/features,features_BNBUSDT_1h_time_delay_168_slice_size_1080.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
21,BNBUSDT,FRUITS,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-fruits.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
22,BNBUSDT,NetF,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-netf.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
23,BNBUSDT,baseline,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-OLHC_features.csv,article-1/data,BNBUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BNBUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
24,BTCUSDT,SMA,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
25,BTCUSDT,EMA,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
26,BTCUSDT,RSI,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
27,BTCUSDT,MACD,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
28,BTCUSDT,BB,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
29,BTCUSDT,SO,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
30,BTCUSDT,ATR,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
31,BTCUSDT,lagged,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02a-output-BTCUSDT_1d-log-return-lagged.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
32,BTCUSDT,datetime,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02b-output-BTCUSDT_1d-log-return-datetime.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
33,BTCUSDT,difference_and_change,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02c-output-BTCUSDT_1d-log-return-difference-and-change.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
34,BTCUSDT,temporal_decomposition,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02d-output-BTCUSDT_1d-log-return-temporal_decomposition.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
35,BTCUSDT,time_delay_embedding,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02e-output-BTCUSDT_1d-log-return-time-delay-embedding.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
36,BTCUSDT,TDA_TD_72_SS_336,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BTCUSDT_1h_time_delay_72_slice_size_336/features,features_BTCUSDT_1h_time_delay_72_slice_size_336.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
37,BTCUSDT,TDA_TD_72_SS_504,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BTCUSDT_1h_time_delay_72_slice_size_504/features,features_BTCUSDT_1h_time_delay_72_slice_size_504.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
38,BTCUSDT,TDA_TD_72_SS_720,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BTCUSDT_1h_time_delay_72_slice_size_720/features,features_BTCUSDT_1h_time_delay_72_slice_size_720.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
39,BTCUSDT,TDA_TD_72_SS_1080,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BTCUSDT_1h_time_delay_72_slice_size_1080/features,features_BTCUSDT_1h_time_delay_72_slice_size_1080.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
40,BTCUSDT,TDA_TD_168_SS_336,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BTCUSDT_1h_time_delay_168_slice_size_336/features,features_BTCUSDT_1h_time_delay_168_slice_size_336.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
41,BTCUSDT,TDA_TD_168_SS_504,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BTCUSDT_1h_time_delay_168_slice_size_504/features,features_BTCUSDT_1h_time_delay_168_slice_size_504.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
42,BTCUSDT,TDA_TD_168_SS_720,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BTCUSDT_1h_time_delay_168_slice_size_720/features,features_BTCUSDT_1h_time_delay_168_slice_size_720.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
43,BTCUSDT,TDA_TD_168_SS_1080,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_BTCUSDT_1h_time_delay_168_slice_size_1080/features,features_BTCUSDT_1h_time_delay_168_slice_size_1080.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
44,BTCUSDT,FRUITS,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-fruits.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
45,BTCUSDT,NetF,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-netf.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
46,BTCUSDT,baseline,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-OLHC_features.csv,article-1/data,BTCUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-BTCUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
47,ETHUSDT,SMA,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
48,ETHUSDT,EMA,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
49,ETHUSDT,RSI,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
50,ETHUSDT,MACD,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
51,ETHUSDT,BB,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
52,ETHUSDT,SO,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
53,ETHUSDT,ATR,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-technical_indicators.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
54,ETHUSDT,lagged,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02a-output-ETHUSDT_1d-log-return-lagged.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
55,ETHUSDT,datetime,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02b-output-ETHUSDT_1d-log-return-datetime.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
56,ETHUSDT,difference_and_change,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02c-output-ETHUSDT_1d-log-return-difference-and-change.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
57,ETHUSDT,temporal_decomposition,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02d-output-ETHUSDT_1d-log-return-temporal_decomposition.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
58,ETHUSDT,time_delay_embedding,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/data,02e-output-ETHUSDT_1d-log-return-time-delay-embedding.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
59,ETHUSDT,TDA_TD_72_SS_336,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_ETHUSDT_1h_time_delay_72_slice_size_336/features,features_ETHUSDT_1h_time_delay_72_slice_size_336.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
60,ETHUSDT,TDA_TD_72_SS_504,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_ETHUSDT_1h_time_delay_72_slice_size_504/features,features_ETHUSDT_1h_time_delay_72_slice_size_504.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
61,ETHUSDT,TDA_TD_72_SS_720,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_ETHUSDT_1h_time_delay_72_slice_size_720/features,features_ETHUSDT_1h_time_delay_72_slice_size_720.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
62,ETHUSDT,TDA_TD_72_SS_1080,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_ETHUSDT_1h_time_delay_72_slice_size_1080/features,features_ETHUSDT_1h_time_delay_72_slice_size_1080.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
63,ETHUSDT,TDA_TD_168_SS_336,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_ETHUSDT_1h_time_delay_168_slice_size_336/features,features_ETHUSDT_1h_time_delay_168_slice_size_336.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
64,ETHUSDT,TDA_TD_168_SS_504,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_ETHUSDT_1h_time_delay_168_slice_size_504/features,features_ETHUSDT_1h_time_delay_168_slice_size_504.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
65,ETHUSDT,TDA_TD_168_SS_720,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_ETHUSDT_1h_time_delay_168_slice_size_720/features,features_ETHUSDT_1h_time_delay_168_slice_size_720.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
66,ETHUSDT,TDA_TD_168_SS_1080,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-1/results/processed_log_return_wtmra_0_ETHUSDT_1h_time_delay_168_slice_size_1080/features,features_ETHUSDT_1h_time_delay_168_slice_size_1080.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
67,ETHUSDT,FRUITS,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-fruits.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
68,ETHUSDT,NetF,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-netf.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
69,ETHUSDT,baseline,01/03/2022,30/06/2024,01/07/2024,30/07/2025,article-2/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-OLHC_features.csv,article-1/data,ETHUSDT_1d_data_from_20210101_to_20251031.csv,article-1/data,01-output-ETHUSDT_1d-from-2021-12-31 00:00:00-until-2025-07-31 00:00:00-log-return.csv
